,Value,System,Privacy,Spam,Finance,Others,commentid,appid
0,远程协助这个功能是不是有点不好？手机是个隐私的东西，你弄个远程协助万一被别人利用怎么办？还有现在那么多支付转账工具都在手机上，你弄这个东西到底有没有安全性？？,0,1,0,0,0,2505995,153601
1,垃圾应用，偷隐,0,1,0,0,0,735997,64661
2,玩不了做出来干什么？想窃取隐私么,0,0,0,0,0,741153,65611
3,总是自动上传我的个人文档，盗取我的个人隐私。强烈要求取消自动上传功能！或者变成可选择,0,1,0,0,0,4628899,14322
4,偷偷盗取你的手机通讯录，然后给每个人都发短信，虽然不提及姓名，可是学校什么的信息都说了，鬼才猜不出来是谁呢！问题是还给我妈发了！为了做宣传简直无耻！没下限！知不知道这是侵犯别人隐私,0,1,0,0,0,1922650,50886
5,需要行驶证信息，涉及个人隐私,0,1,0,0,0,645488,64661
6,所有的权限都要打开。这样用户用户还有什么隐私,0,1,0,0,0,2920348,50698
7,首先是强制更新，不更新就无法使用，其次是开会员后有很多时候可能会涉及到查看他人隐私，实在是太过分了，这个破软件很多操作都需要收钱，充了会员又探看别人隐私，两种极,0,1,0,0,0,4378172,384764
8,更新后变成流氓软件，要一些隐私权限！流氓！！卸载,0,1,0,0,0,4528334,1116
9,我是在电视剧上看到他们做广告找到这软件的，但是看到很多人评论说这个软件说骗个人隐私信息的，我以为是他们的竞争对手找的水军来黑他们的。于是我下载了他们的软件，所有隐私信息提交完之后秒拒！秒拒！秒拒！我信用很好，以前没有贷款过，也没有办信用卡，竟然被秒拒！然后可怕的事情来了，很多贷款的信息不停轰炸我手机，还有各种贷款的电话打过来，这时我就知道了，他们把我的个人信息卖给别人了。这是我的良心话，想借钱的不要用这个软件，谁不信谁倒霉。声明一下，我不是水军，不信你们可以试试看,0,1,1,0,0,4370262,446552
10,不给权限就不能登APP，你要这么多权限干嘛。偷窥我隐私,0,1,0,0,0,4605759,51733
11,这种程度的隐私保护 存在不存在有区别,0,1,0,0,0,3373024,50886
12,猜你喜欢这个功能很恶心，暴露人隐私，关闭不了，各种广告推送，很恶,0,1,1,0,0,4584753,1023
13,索要隐私权限，接下来是不是想种木马,0,1,0,0,1,4589043,1116
14,投了一次简历，几十处地方打电话来让面试，全部都是想方设法骗钱的！百姓网泄露用户隐私,0,1,0,0,0,3810940,3726
15,还非要通知访问手机照片等隐私才能用，开发这个软件的想干,0,1,0,0,0,4967981,283
16,透露个人隐,0,1,0,0,0,1668733,10774
17,要求的权限过于流氓，窃取不必要的隐私权限。消费提示一个接一个，不能好好玩游戏。页面过于凌乱，美工很差。如果不充钱，三天之后就玩不动了,0,1,0,0,0,4119972,48522
18,垃圾，没有保护隐私,0,1,0,0,0,3620978,13893
19,软件功能不错！但是严重泄露个人手机隐私！拒绝软件请求后，此软件将不能k歌！气愤！气愤,0,1,0,0,0,643649,18442
20,泄露个人隐私,0,1,0,0,0,4239832,22704
21,完全是个垃圾，没有夜间模式，账号里的隐私设置也被莫名其妙的改的，,0,1,0,0,0,2914036,41965
22,要给好评才能给好评？不是引诱人给好评吗？评论意义何在？而且应用权限对个人隐私涉及太多了！包括（精准定位、网络位置、手机号、运行中的应用……等,0,1,0,0,0,2887998,60973
23,就是设置可.访问的很多隐私,0,1,0,0,0,3796386,100335
24,破软件，要一大堆个人隐私权限，不给就用不了，行，我不用,0,1,0,0,0,3451063,45617
25,真的不好，就因为手机问题，重新安装了一下，两年的日记就全部没有了，还要重新注册。不重要的东西写写还行，要是重要的东西最好别再这里面写，容易丢，而且如果想恢复日记，需要交钱的，这说明这个日记他们是一直给偷偷备份的。那我们也没有任何隐私了,0,1,0,0,0,2195649,64638
26,不好用，卡在条款和隐私部分不动,0,0,0,0,0,3721386,122651
27,巨恶心，要系统所有权限，不然打不开，建议注重隐私的用户不要安装,0,1,0,0,0,4576214,54309
28,要看你的隐私，你还下载,0,1,0,0,0,4575168,283
29,录入个人信息不能更改。注意个人隐私,0,1,0,0,0,3015843,74965
30,可不可以编制成手动隐私功能,0,0,0,0,0,1269503,77860
31,慢慢说有隐私保护可是没有啊  ,0,1,0,0,0,2092067,146
32,差评，各种方面都没弄好，隐私什么都不全面，作品发了也不能,0,1,0,0,0,4673118,50401
33,没见过这么垃圾的应用，千万别下，泄露隐,0,1,0,0,0,2284316,95842
34,垃圾，个人隐私都没,0,1,0,0,0,2122010,51665
35,一打开强制注册强制完善信息，可重要的是填了三遍信息还是没填好，说什么要设置权限，我把所有权限都给它打开了还是照样不行，你直接让我把所有隐私连带手机全给你才能注册？浪费时间浪费流量，糟心，那些好评如此官方，不是刷/的就奇怪,0,1,0,0,0,3859234,461328
36,怎么解决安全系统，都不,0,0,0,0,0,3946729,29837
37,本来安装X版的，手贱来了个安全扫描，说不是正版有安全威胁，那就听专家的吧，结果安装这个玩意后就完蛋了，公告大大的，MD这TM是垃圾吗,1,0,0,0,0,4591566,2010
38,昨晚正统三国一个号下了，换另一个，再上就说检测设备安全出错，我三个小米号不光上不去，就是注册都不行，手机更新最新版本miui系统，还是不行，格式化手机也不行，就是上不去小米账号，我知道这个不该怪游戏，可是我的区游戏今天双倍经验，本想昨晚押199体力过零点参加双倍，结果昨晚到刚才一直上不去小米账号，试了上百次都快绝望了，刚才习惯的又去试了一下，自己好了上去了，可是几乎不让我登陆24小时，在双倍经验的时候，这是致命的，浪费了我几百点体力，折腾我手机做系统几小时,0,0,0,0,0,4077786,431376
39,兑换积分要输入四五次验证码不说，只能用莫名其妙的移动钱包？弄了半小时最后说不安全让我去一个网址验证身份，我真是无语，垃圾,0,0,0,0,0,4575918,51733
40,很恼火，这个软件，要不是公司规定工资卡还真不想用这农业银行任何东西。一个这么小小的东西都做不好，安全，服务什么的让人很担忧。说不定到什么时候给你坑过血本无归人家还一脸淡然，谁叫人家是国家养的一条好狗呢,0,1,0,0,0,4272348,9407
41,最新版的太难用了，手势密码不用输直接点返回键就进去了，真不安全，百度越来越不行,0,1,0,0,0,3074039,57642
42,全差评  什么垃圾安全 一点都不安,0,1,0,0,0,3862395,29837
43,连接wifi网络、手机移动网络和电信网络均无法登陆，提示连接网络失败，但是手机设置正常，安全中心也没有限制此应用连接网络。连续试了几次，中国移动就发来短信说登陆次数过多被限制登陆了，但是，一次都没登陆上,0,0,0,0,0,3008153,58966
44,这是一款完全反编译正版天天跑酷的山寨游戏，没有节操，版本低，并不好玩，存在安全隐,0,1,0,0,0,1386555,87657
45,办公离不开这软件，挺方便也挺安全，存了很多公司的资料。一个不错的办公辅助工具,0,0,0,0,0,4375489,5314
46,我是小米路由器3 2.4g下也连接不上空调，前置条件太多又要重置路由器，设置什么安全，加密模式？？非常不傻瓜，我要的东西是好用简单，不是一个个排查过去是哪里出了问题再设置，能不能好好学学小米，以后小米出什么智能空调我就换小米的。现在是2017.6.1号还是连接不上,0,0,0,0,0,3427947,75774
47,"要是差评能解决问题  我祝愿钱站老板全家出行""安全",0,0,0,0,0,3904402,100260
48,好玩，但是有不安全，还说要保护  CNM真太,0,1,0,0,0,3529055,122156
49,动不动就安全模式，还几把不能解除，这就跟怕得心脏病就把心脏切除了一样呗，曹尼,0,0,0,0,0,4101349,29837
50,真心不怎么安全，别人申诉自己都不知道，应该出个申诉报,0,1,0,0,0,3938778,29837
51,是不是傻呀，账号被冻结了要在安全中心解冻，安全中心也提示你被冻结也登录不,0,0,0,0,0,3788563,29837
52,一般，没在这上面买过东西，签到的也有问题，老有安全警告…,0,1,0,0,0,1864764,76829
53,经常卡死，还不好更新，下载还要一大个捆绑的安全插,0,0,0,0,0,3590708,100335
54,好评都是刷出来的  美柚安全感,0,0,0,0,0,4110163,84153
55,什么垃圾???我给我妈打电话想协助她安装软件，你们就直接把我拒绝了??我妈看着手机愣了半天，什么陌生人电话，什么出于安全考虑，这就是你们不顾机主意见直接拒绝的理由?,0,1,0,0,0,4442578,153601
56,用QQ安全中心可以但是千万不要用至尊宝他妈就是个垃圾  在我空间里找一张相片解除了   然后改手机 我自己要改的时候验证完所有  最后他妈要手机验证  验证你妈  手机都改了你怎么验证,0,0,0,0,0,4096393,29837
57,很垃圾很垃圾。我一分都不想给，根本不识别人脸，用了至尊宝就入坑。你一个安全软件没有客服说得过去吗？网上查客服电话也没人接，总之就是垃圾,0,0,0,0,0,4135685,29837
58,为什么安全软件杀毒后，提示wifi联盟属于危险软件？？,0,0,0,0,0,2382055,73591
59,本身就闪退！应用升级后、必须要绑定手机才能登录购买、以前的帐号不能登录了、绑定与否是我们的权力、凭什么强制！还美其名曰为了我们的安全！不绑定就不安全了,0,0,0,0,0,2056518,8656
60,个人信息，企业信息，商业机密暴露风险很大，从管理角度讲方向是对的，但你们有那个能力和水平对个人，商业信息安全负责吗,0,1,0,0,0,2091232,51665
61,首先必须有网络那么问题来了有网络我用你干嘛？然后你们必须都用小米手机问题又来了有腾讯企鹅和YY视频这些夸品牌甚至夸终端跨平台的应用为何要用限制这么多的软件？还有远程协助这个功能在当前手机登等移动设备成为超越电脑的首要攻击目标的网络安全环境里简直就是个后门么？最后我认为这程序属于应用软件不应该在系统更新中强制安装。用户使用什么软件不应由硬件生产商决定，你们这种行为只能让人反感,0,1,0,0,0,2631944,153601
62,要换密保手机 原来那个停机不用怎么办？ 解除安全模式动态口令呢 真是气人 垃圾东,0,0,0,0,0,4074709,29837
63,最大的优点是知名度高，排名前五的大平台。资金安全性不错，提现快。缺点是利率低，优惠活动少且不给力，大平台通病。另外利率计算比平台公布利率每月还低0.1-0.2左右。本公布来利率就低，实际所得利率就更低了,0,0,0,0,0,3975759,73545
64,无限广告弹出，各种形式的广告，不管你在什么时候打开手机都会弹出广告，即便是打电话或者开车导航的时候都会弹出广告，根本不考虑用户的安全问题，用户体验最垃圾的软件，没有之一。建议大家不要用他，免得生气,0,1,1,0,0,3988109,145
65,这些都属于野鸡车。还是做的士安全,0,0,0,0,0,681319,60968
66,有些空文件夹清除不了，不安全,1,0,0,0,0,653825,64261
67,骗子软件！不安全！不安全！没有第三方！没有安全保障…,0,1,0,0,0,2932855,72780
68,辣鸡软件，碰到诈骗的玩家，说动物品了，我们都提供截图证明美动了，平台来一句存在安全问题，扣了安全金，坑💰的软件，巨,0,1,0,0,0,4198179,452103
69,安全设置界面是摆设吗，不能解除防沉迷,0,0,0,0,0,4541496,77110
70,bug太多！！！！砧石消费不安全,0,1,0,0,0,1361122,78702
71,垃圾，老是账户在他处登陆，一点不安,0,1,0,0,0,1248560,993
72,真滴没用垃圾别人用QQ安全中心解得了DNF的安全模式就我不,0,0,0,0,0,3849781,29837
73,忘记告诉大家方法了。如果手机开了神隐模式，把正点闹钟设置成无限制，然后安全中心授权管理的自启动里设置成开机启动，还是安全中心授权管理里的应用权限管理，把正点闹钟的锁屏显示和后台弹出界面的权限打钩，这样就保证闹钟正常使用而且万无一失了。设置好我的闹钟已经可以正常使用了，然后浏览器弹出也开始恢复正常了，呼呼,0,0,0,0,0,3926640,145
74,能举报吗，太不安全,0,1,0,0,0,1571084,74649
75,就是不知道安全性如何，卖出手续费稍贵，第三笔开始，一克口7毛，要是3-5毛就好了,0,0,0,0,0,2377543,75824
76,恶心，解绑功能都没，一天天的安全模式，辣,0,0,0,0,0,3759667,29837
77,乱冻结 我qq冻结要改密你让我去安全中心  我到了安全中心登号 你又说我的号被冻结不能登录  让我去先解冻  你逗我,0,0,0,0,0,3720703,29837
78,你们安全中心还显示的是襄,0,0,0,0,0,4030779,29837
79,太不安全了!几次被人串号，看到别人发帖在里面。所有的头像资料都是我的!我想卸载了,0,1,0,0,0,2403298,12064
80,至尊宝我一直再用不错，一直用着，不过还希望更新加密设置更安全,0,0,0,0,0,3902317,29837
81,安全模式都解不了  微信也解不了  开始骗短信费了,0,0,0,1,0,3919529,29837
82,看这评论，俺机智的进安全中心把电话短信权限全给它禁了，哈哈,0,1,0,0,0,2753875,6211
83,对用户的信息一点保密性美有，注册了，天天不知道那儿的垃圾平台听都没听过！天天各种骚扰电话！注册就等于你的手机号公布天下了！太没有安全性了,0,1,0,0,0,3681645,70652
84,QQ安全中心有漏洞，无法正常保护qq正常运,0,0,0,0,0,4143291,29837
85,一点都不好  我要是能登的上QQ还用的着安全中心   帐号被封根本登不上你还让我登  不给我解冻就算,0,0,0,0,0,3657551,29837
86,系统设置禁止第三方来源，只允许市场下载。如果阿里系app不能保证官网与市场同步，请不要随便禁止老版本使用，这是强迫用户去开启不安全的允许第三方来源的功能。如果不能做到，请下架该ap,0,0,0,0,0,3748538,74649
87,换个安全卡太麻烦了，大热天我还得跑银行，用户体验一点都不友,0,0,0,0,0,4107726,57642
88,安全模式都解不了，还安全个屁,0,0,0,0,0,4122675,29837
89,小米安全中心提示有木马？？,1,0,0,0,1,3970202,97713
90,QQ安全中心还在为什么我QQ还被冻结,0,0,0,0,0,4008026,29837
91,千万千万不要绑定至尊保，无法解除，以前能用的安全验证全部无线，只能发短信,0,0,0,0,0,3984976,29837
92,签到界面打开就是安全警告 没法签到了……望尽快解,0,0,0,0,0,1637929,76829
93,网络存在安全 垃圾百度 词藻药,0,0,0,0,0,3650063,315
94,设置里关闭推送但是每天都通知栏有消息，后台里也没有相关程序在运行，安全中心授权管理都设置过但还是一样，小米客服说是所谓的流氓软,1,0,1,0,0,1296695,3185
95,圈钱第一，质量第九！早脱坑早安全,0,0,0,1,0,2173901,78779
96,希望和小米继续合作，在安全中心里好用。,0,0,0,0,0,2848527,57437
97,垃圾腾讯，死狗老马，老子qq密保都被人换了，你个狗比连个信息都没来，老子现在连安全中心都登不上了，还申诉你麻痹啊，马垃,0,0,0,0,0,3751135,29837
98,小米5splus   去安全中心设置了自启  也重新启动了第三个还是没反,0,0,0,0,0,3823766,75978
99,腾讯的东西都不安,0,1,0,0,0,3991474,29837
100,为什么手机QQ在线   安全中心没有显示在线 就显示了在线的记,0,0,0,0,0,4054965,29837
101,初次安装，进程就是三十多关，两百多鸭子，很担心安全问题,0,1,0,0,0,4410282,442955
102,不安全的，被人串号也得不到解决，就算我删掉了，那人还用我的资料在那玩呢？想想就生气，头像是我的，资料也是我,0,1,0,0,0,2056249,12064
103,小米mix2无法登陆，自带的安全键盘和全面屏的home键冲突。无法输入数字0,0,0,0,0,0,4155275,79554
104,到点不响解决方法：在闹钟的权限管理中允许后台弹出界面。广告解决方法：去安全中心禁止闹钟wifi和数据联网，需要的时候打开，之后记得再禁止,0,0,1,0,0,3955000,145
105,帐号及资金不安全，无法找回，劝大家不要充,0,1,0,0,0,2354239,87770
106,我手机很安全，请不要给我报病,0,0,0,0,1,4539779,1023
107,我看了网友写的差评，知道肯定是水军写的，因为我在有利投资了有5年多了，每投资的一笔都按时兑现，小额分散的模式是资金安全的保障，希望有利会越办越好,0,0,0,0,0,4926639,54054
108,为什么还要我安装什么安全插件，什么东,0,0,0,0,0,1106532,60646
109,一点都不准，而且还要把车架号全部输入，车辆信息安全很担,0,1,0,0,0,1320085,5391
110,刚注册就有人异地登陆，不安全的垃圾软件,0,1,0,0,0,1584438,84546
111,大概是我登录游戏五次安全模式逼我改五次密码吧，妈的智障腾,0,0,0,0,0,4089697,29837
112,我的QQ都是从小米商店下载的，安全中心每次扫描也没说盗版啊。怎么到你这用QQ登录就说是盗版，非得用应用宝下载，疯了,0,0,0,0,0,3752190,1284
113,没用，没解除安全模式反而冻结我游戏账,0,0,0,0,0,3982384,29837
114,我进入界面就开始安装，结果安装几个小时都还在安装，这个安全令那么难吗(不是软件，是里面的安全令安装,0,0,0,0,0,3592302,431206
115,注册需要填写银行密码非常不安全,0,1,0,0,0,847287,3161
116,体验太差了，超市打开扫码时，提示更新，不更新就不给用，刚好我手机设置了安全模式，不安装APP私自更新，还真没见过不更新就瘫痪的APP，要不是物美会员绑定，就直接卸了,0,0,0,0,0,3662355,100884
117,垃圾啊，什么叫安全检测代码2？希望能有个回答！难道嫌老子手机太烂了！！,0,0,0,0,0,1429731,61442
118,后台频繁自动弹出广告，经常莫名其妙偷偷下载软件！跟流氓软件没有区别！在安全中心禁用了联网权限，世界清净了,1,0,1,0,0,1469798,145
119,骗人的，开通会员（28元）后的权限乱七八糟，要设定五行属性来取名也根本做不到。太坑人,0,0,0,0,0,3402834,78427
120,一个破社区app要这么多权限，要读取短信电话，要定位，要读取手机号，还要查看照片以及文件，赶紧滚吧！！,0,1,0,0,0,4666362,550049
121,红米4A，拒绝定位权限后无法打开程序,0,1,0,0,0,3370941,85025
122,没密友功能，ROOT权限也不用,0,0,0,0,0,1228727,74191
123,权限要的最多，打开速度最慢，体验做的最差，没有之一,0,0,0,0,0,3673147,100335
124,气死我了，你凭啥要我手机权限，音频权限还不够？你可拉到吧，本来下口语就是为了保持打卡简单，扇贝系列，通通卸,0,0,0,0,0,3627770,421581
125,为什么需要通话权限,0,1,0,0,0,4076628,76829
126,亲身经历提醒大家注意！我没注意权限设置，给了这个游戏写入短信的权限，然后一局结束之后不小心点到了首次重生免费的特权，25元，等我反应过来就收到短信提示话费被扣了25元，这我都不想说了，更过分的是，不知道为什么虽然扣了话费，我还是没有首次重生特权，呵呵，游戏公司不解释一下？？这么坑客户真的好,0,0,0,1,0,4561211,25940
127,忘了初心，等着死吧！连个最近访客都没有权限了！想钱想疯了吧！我第一代校内网用户,0,0,0,0,0,3292017,366
128,什么都是你们的权限，你让东就东让西就西，那你这个软件有什么好的？没看出来好在哪,0,0,0,0,0,3971153,46950
129,不给相机权限无法使用,0,1,0,0,0,3767971,341
130,打不开啊，黑屏，权限设置过了，也重下,0,0,0,0,0,3043243,432527
131,如果是MIUI不响，在权限设置里面，允许“后台弹出界面,0,0,0,0,0,2801286,145
132,不管商品怎么样，这app是真他妈恶心啊，不给权限不让用，为啥要用我的通话权,0,1,0,0,0,3438370,341
133,一直在用，现在要权限，卸,0,1,0,0,0,4591411,283
134,垃圾软件，总要权限，还不能用。设计师能不能用脑子想问题，估计他们用脚想问题的太多,0,1,0,0,0,4343315,5854
135,必须要开通权限才能用，呵呵，个人信息能卖多少钱,0,1,0,0,0,4335526,5314
136,权限索取过,0,1,0,0,0,4039145,448764
137,教务系统成绩查询功能已经下架了，导入课表也失败了，肯定是权限受限了，公司快倒闭了，还做什么AP,0,0,0,0,0,4628358,13398
138,为什么不能录视频，权限全有，一直提示没有录音权,0,0,0,0,0,3450899,95274
139,什么时候乐视开始强行要权限了？不知道开发者是怎么想的，这种软件见一个删一个,0,1,0,0,0,3608315,45617
140,真是 升级了你一个读书软件要我那么多权限干啥 不给还秒,0,1,0,0,0,4007005,448764
141,无提示音，不是权限的问题，差劲软,0,0,0,0,0,4421182,37627
142,嗯，不知道有没有买权限。。。原谅我的无知,0,0,0,0,0,4121922,434508
143,后台权限设置完虽然能用闹钟了，但是广告，一顿乱弹出，app自动下载。简直流氓软,1,0,1,0,0,3923590,145
144,为什么要打开上传媒体权限，没打开是根本进不去的好,0,1,0,0,0,4344386,86928
145,各种申请权限，垃圾,0,1,0,0,0,4239649,283
146,自动跳到支付宝领红包是真的恶心，谁给你权限了，侵犯用户财产,0,1,0,1,0,4606258,13398
147,凡事都有两面，人家做软件的也不容易，开了会员，啥广告都没有，6块钱一个月的会员，当然，不开会员也可以没有广告，这个得必须有，权限管理必须全部设置成不允许，啥广告都没有，整点报时正常，这个没毛病，66,0,0,1,0,0,3910695,145
148,获取一大堆权限，王八移动不动,0,1,0,0,0,4584948,51733
149,非常差。各种卡顿，连不上网，乱要权限。做样子的东西，完全没办法,0,1,0,0,0,4658878,51733
150,可以不要那么多权限吗,0,1,0,0,0,4655481,283
151,根本就用不了，第三个不能选，第四个没有权,0,0,0,0,0,3817251,75978
152,你说好好一app启动就索要相机权限，还读取手机号码和手机通讯录信息要干嘛？啊？就买过他家行车记录仪，还可以～嘿～这app不给权限还不让启动了，嘛。。。反正没有非要在他家买不可的，不让开就进冷宫吧,0,1,0,0,0,3538380,45617
153,我强迫症，今天看到消息界面显示掌上英雄联盟正在运行中，然后我想把这消息删了，怎么都删不掉，关应用，改通知权限，后来看到权限里面有一个权限是发送长久广播，我关不掉，我斗不过你我删应用好吧，整这么恶心为了什么？为了证明你能更恶心,1,0,0,0,0,4480948,55358
154,不可以打开，总是提示“轻盈医学如果没有这些权限………即将退出！！！…”这是怎么鬼嘛，版本越更新越用不,0,1,0,0,0,3646076,92889
155,不给授权还不能用哈?你要打电话权限干什么,0,1,0,0,0,4666495,550049
156,竟然把我手机本地文件给我删了，什么权限啊！！！,1,0,0,0,0,2773810,1098
157,要了一堆权限，活内容动更新的迟，说白了就是不如从前走心了,0,1,0,0,0,4582317,422729
158,为什么不能自动地位我所在的城市，权限已经打开,0,0,0,0,0,2655917,62289
159,自己偷着下载别的软件，还需要访问相册和存储权限，不让访问就打不开，广告还多，真是越来越,1,1,1,0,0,4816981,283
160,我安装了两三遍，总是闪退。不知道是应用权限还是硬件问题,0,0,0,0,0,1257332,43736
161,搜星速度比以前还是慢，快速定位时提示无权限，小米4c高配版，请问如何解决,0,0,0,0,0,3886157,16307
162,不给电话权限打不开？？？那我有必要用吗,0,1,0,0,0,3304652,341
163,要积分，然后下载的游戏一直提示发送短信权限，不小心一点就扣了80多话费，垃圾别下载,0,0,0,1,0,2652140,76370
164,今天突然进不去了，提示网络错误，可是网络完全能用，应用权限也对，怎么回事。手机重启没,0,0,0,0,0,1400505,56258
165,申请一大堆权限，呵,0,1,0,0,0,3785025,92096
166,他老是要写什么权,0,0,0,0,0,4600640,426552
167,一星都不想给的！下载好了我一直关了这个游戏的权限，还算好，就是每日任务不更新！后来我更改了权限，第二天一看，啥都初始化了，老鼠没了，等级没了，奶酪没了，玩个蛋,0,0,0,0,0,1997582,97176
168,我没见过哪个社区要这么多权限的，还不能限制，拜拜吧您,0,1,0,0,0,4646044,550049
169,第三个根本不行，点不了完成，我都开启自启动权限了,0,0,0,0,0,4534766,75978
170,确实越来越垃圾！不给你弹窗权限，你闹钟不响，给你弹窗权限，你给我弹出浏览器广告，也是醉了,0,0,1,0,0,4046177,145
171,垃圾东西 不给读取手机权限还不让用了是,0,1,0,0,0,4552186,376624
172,顶级差评！默认安装有直接发送短信的权限,0,1,1,0,0,2810938,64082
173,凡客东西还行，就是这APP让你们做得太恶心了。各种看不到内容不说，现在不给联系人和相机权限居然都不让用？？我去XXXXX，宁愿不用都不给你这些权限。走好不送,0,1,0,0,0,3274236,341
174,越来越大，越来越卡，越来越垃圾，要不是有和我信金币撑着，早换卡了，可tm现在一直要些非必要的权限，点开一个新界面提醒一会，麻烦的死，点两回才慢慢进入程序，以前的好评都被毁了，现在差评一堆一堆。不是怼移动的和我信，只是别tm越改越让人讨厌，还我们一个人人喜欢的和我,0,1,0,0,0,3560261,100335
175,你一个计步的App 为什么要开通访问照片还有其他信息的权限,0,1,0,0,0,3938314,39586
176,更新后象苹果的权限模式，软件的自带振动没有了，得设置声音，之后打开手机振动，才有振动。太坑,0,0,0,0,0,4178280,45029
177,点击设置，授权管理，应用权限管理，找到正点闹钟，把锁屏显示和后台弹出界面打开。OK，又能用了,0,0,0,0,0,3937526,145
178,什么玩意，一个看小说软件还强制性要权限……走你,0,1,0,0,0,4469043,24327
179,一星都不想给，乱七八糟权限全要了，这是要干,0,1,0,0,0,4688776,550049
180,除了要权限之外其他都挺好，三星保,0,1,0,0,0,4077066,448764
181,搞什么，要设置电话权限才能进,0,1,0,0,0,4045331,73545
182,看线路了，有的准有的不准，有时候还会卡住进不去界面的问题，得退了重进。最不满意的就是权限要求太多，随便关了一个权限，应用就没法用,0,1,0,0,0,4922135,39117
183,不知道一个看股市的APP非要拿打电话的权限干什么,0,1,0,0,0,4757119,1116
184,企业qq开启了后台自启动，开启了所有权限，清除后台运行内存时也锁定了企业qq不清除，可是还是不进入应该收不到消息，并且进入应用的前几秒显示无网络！这是安卓版的通病吗？我同事的华为8也是这样，其他同事全部苹果手机，没问题，求解决啊，我可是说了只用小米不换苹果的,0,0,0,0,0,2382616,45173
185,把权限禁了就不能用了，流氓软件，一定要开十几个权限给他才能用，果断卸,0,1,0,0,0,4007367,38546
186,我怎么消息同步不了？权限都开了，帐户也是一样,0,0,0,0,0,4489085,122651
187,权限要求让人不舒,0,1,0,0,0,4019459,448764
188,都不要上当这个App很有问题，会把你手机里东西都要到权限！是个典型的窃取你的信息软件,0,1,0,0,0,3644640,434851
189,升级之后要求的权限太多了，仅仅一个查看空气指标的软件，要求读取手机照片、通讯录、各种读写权限和其他方面要求，不用也罢，评完就删除这款软件,0,1,0,0,0,4118004,22321
190,无法卸载，有病毒？即使卸载了，还是在手机里，程序里面找不到，但是在系统权限里面可以看到，把目录里面anyview的文件夹删除了还在。google play一直显示有危害，就是无法卸载,1,0,0,0,1,4029424,59
191,苹果系统就没有权限，哈哈，什么垃圾软,0,0,0,0,0,4677188,550049
192,太他妈的坑爹了，你要这些读取sd卡权限干嘛，偷东西吗,0,1,0,0,0,3465342,61197
193,玩了一次就闪退，重启也不管用，权限都打开也不,0,0,0,0,0,3951509,24652
194,需要的权限太多了，还不能设置不再提醒，有毒么？只要拒绝一个权限就打不开,0,1,0,0,1,3655282,100335
195,这次下载就是为了给差评！你要的权限也太多了，果然有什么样的老板就有什么样的企业！和陈年一样恶心,0,1,0,0,0,3421027,341
196,你有什么权限禁止我使用指令,0,0,0,0,0,3588174,94160
197,唱不了，说权限没开，开了也用不了,0,0,0,0,0,4136393,71936
198,不给权限各种卡，强制退出，经常出现闪退等，现在流量套餐流量都很多，不想用这个辣鸡,0,0,0,0,0,3457159,100335
